Sales_ID,Name,Year,Selling_price,km_driven,Region,State or Province,City,Fuel,Seller_type,Transmission,Owner,Mileage,Engine,Max_power,Torque,Seats,Sold
3487,Hyundai i20 Asta 1.2,2007,550000,2360457,South,Mississippi,Clinton,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,N
3509,Maruti Wagon R LXI Minor,2010,194000,577414,South,Tennessee,Columbia,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,N
3642,Maruti Wagon R VXI BS IV,2011,229999,500000,West,Colorado,Denver,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
999,Maruti Wagon R LXI BS IV,2012,220000,360003,West,California,Los Angeles,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
3853,Hyundai Sonata 2.4 GDi MT,2012,550000,330000,West,Colorado,Longmont,Petrol,Individual,Manual,Second Owner,13.44 kmpl,2359 CC,198.25 bhp,250Nm@ 4250rpm,5,N
5814,Hyundai Sonata 2.4 GDi MT,2012,500000,330000,Central,Illinois,Elmhurst,Petrol,Individual,Manual,Second Owner,13.44 kmpl,2359 CC,198.25 bhp,250Nm@ 4250rpm,5,N
1349,Maruti Ertiga BSIV VXI,2017,700000,227000,East,New Jersey,Irvington,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7,Y
5194,Hyundai i20 1.2 Asta,2011,220000,220000,East,Pennsylvania,Allentown,Petrol,Individual,Manual,Fourth & Above Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,N
2762,Maruti 800 EX,2004,70000,220000,East,Maine,Bangor,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,N
2592,Honda Civic 1.8 S AT,2007,175000,218463,West,California,Concord,Petrol,Individual,Automatic,First Owner,12.9 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5,N
397,Hyundai Verna XXi ABS (Petrol),2009,340000,214000,Central,Texas,Dallas,Petrol,Individual,Manual,Second Owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,Y
3505,Renault KWID RXT,2015,210000,210000,West,Washington,Covington,Petrol,Individual,Manual,Second Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,N
1026,Maruti Alto LX,2000,108000,206000,West,California,Los Angeles,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Y
5229,Hyundai i10 Magna 1.1L,2010,187000,200400,Central,Michigan,Kalamazoo,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,N
5695,Ford Fiesta 1.4 Duratec ZXI,2008,136000,200185,South,Florida,Port Saint Lucie,Petrol,Individual,Manual,First Owner,16.6 kmpl,1388 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,N
1244,Maruti Swift Dzire 1.2 Vxi BSIV,2010,210000,200000,East,New York,Troy,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,Y
5771,Maruti Zen Estilo VXI BSIV,2010,160000,200000,Central,Missouri,Springfield,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
7149,Honda CR-V 2.0L 2WD AT,2006,125000,200000,West,Montana,Helena,Petrol,Individual,Automatic,Third Owner,13.1 kmpl,1997 CC,141.1 bhp,190Nm@ 4200rpm,5,N
7692,Maruti Wagon R LX,2006,65000,198000,Central,Iowa,Dubuque,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
6062,Maruti Alto LXi BSIII,2008,100000,195000,South,Kentucky,Paducah,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
8121,Hyundai Santro Xing GLS,2008,120000,191000,South,North Carolina,Mooresville,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,N
3830,Maruti Wagon R LXI,2005,70000,188000,East,New York,West Islip,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
8043,Maruti Gypsy King Soft Top,1997,300000,186388,East,Ohio,Lima,Petrol,Individual,Manual,Second Owner,14.8 kmpl,1298 CC,80 bhp,103Nm@ 4500rpm,8,N
707,Maruti Zen Estilo LXI BS IV,2010,100000,180000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
5682,Maruti Zen LXI,2000,50000,180000,East,Vermont,Rutland,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,N
